time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,identity,updated,place,type,id
2015-06-15T19:55:59.530Z,33.8475,-117.4895,1.854,1.56,ml,46,50,0.04766,0.21,ci,ci37400768,2015-06-15T20:00:35.561Z,"4km SE of Home Gardens, California",quarry blast,1
2015-06-15T19:50:22.560Z,38.8235016,-122.817337,2.68,0.18,md,6,185,0.005674,0.01,nc,nc72466636,2015-06-15T19:52:00.030Z,"7km NW of The Geysers, California",earthquake,2
2015-06-15T19:49:13.790Z,33.9663333,-116.9608333,10.588,0.83,ml,15,70,0.1286,0.13,ci,ci37400760,2015-06-15T19:53:27.538Z,"4km NNE of Beaumont, California",earthquake,3
2015-06-15T19:49:06.680Z,37.0357,-97.9008,5,3.4,mb_lg,2,23,0.076,0.56,us,us20002q1i,2015-06-15T20:22:34.038Z,"17km SE of Anthony, Kansas",earthquake,4
2015-06-15T19:48:10.740Z,19.3558331,-155.236496,30.75,1.96,md,50,56,0.01806,0.18,hv,hv60960876,2015-06-15T19:51:25.180Z,"8km S of Volcano, Hawaii",earthquake,5
2015-06-15T19:39:33.000Z,61.1021,-141.4864,11,1.3,ml,4,5,0.12,0.76,ak,ak11626221,2015-06-15T19:57:39.686Z,"126km NNE of Cape Yakataga, Alaska",earthquake,6
2015-06-15T19:35:49.580Z,38.4663315,-122.3588333,0.51,1.73,md,7,209,0.144,0.12,nc,nc72466631,2015-06-15T19:37:24.970Z,"7km N of Yountville, California",earthquake,7
2015-06-15T19:28:00.000Z,61.4558,-153.7578,0.4,1.6,ml,,,3.5,0.92,ak,ak11626218,2015-06-15T19:57:38.702Z,"121km NNW of Redoubt Volcano, Alaska",earthquake,8
2015-06-15T19:26:30.150Z,47.4675,-122.7426667,22.2,0.33,md,5,307,0.08586,0.09,uw,uw61027377,2015-06-15T19:36:05.470Z,"6km ENE of Belfair, Washington",earthquake,9
2015-06-15T19:16:52.000Z,62.0329,-148.5133,24.4,1.2,ml,45,32,567,0.29,ak,ak11626217,2015-06-15T19:41:35.154Z,"31km NNE of Sutton-Alpine, Alaska",earthquake,10
2015-06-15T19:12:04.420Z,38.8148346,-122.8133316,3.34,0.47,md,9,83,0.008919,0.01,nc,nc72466621,2015-06-15T19:13:38.800Z,"6km NW of The Geysers, California",earthquake,11
2015-06-15T19:06:51.320Z,34.0268333,-117.1571667,16.341,1.22,ml,24,62,0.03815,0.14,ci,ci37400720,2015-06-15T19:11:08.325Z,"4km SE of Redlands, California",earthquake,12
2015-06-15T18:59:35.000Z,64.9789,-147.4398,0,0.9,ml,45,24,345,0.52,ak,ak11626183,2015-06-15T19:10:37.506Z,"20km NE of Fairbanks, Alaska",earthquake,13
2015-06-15T18:15:44.999Z,37.3812,-117.116,10.9321,1.28,ml,16,109.2,0.394,0.156,nn,nn00498688,2015-06-15T18:38:35.357Z,"37km SSE of Goldfield, Nevada",earthquake,14
2015-06-15T17:50:28.640Z,37.4749985,-118.6158371,7.21,1.34,md,9,71,0.08513,0.03,nc,nc72466586,2015-06-15T17:52:03.210Z,"19km NW of West Bishop, California",earthquake,15
2015-06-15T17:49:19.000Z,51.4116,-176.9451,26.6,1.8,ml,43,43,53,0.3,ak,ak11626150,2015-06-15T18:49:45.978Z,"55km SSW of Adak, Alaska",earthquake,16
2015-06-15T17:46:09.216Z,37.3484,-117.1204,14.1914,0.53,ml,9,223.63,0.375,0.0957,nn,nn00498683,2015-06-15T18:13:46.134Z,"41km SSE of Goldfield, Nevada",earthquake,17
2015-06-15T17:40:57.970Z,-9.869,125.1041,66.3,5.8,mwb,45,107,0.832,1.03,us,us20002pyz,2015-06-15T19:46:48.817Z,"61km ESE of Leof, Indonesia",earthquake,18
2015-06-15T17:09:06.870Z,36.067,-117.895,7.68,0.13,ml,9,130,0.05925,0.09,ci,ci37400648,2015-06-15T18:54:22.046Z,"5km ENE of Coso Junction, California",earthquake,19
2015-06-15T17:06:19.600Z,46.2016667,-122.182,3.24,1.15,md,7,123,0.006148,0.1,uw,uw61027272,2015-06-15T17:47:15.730Z,"38km NNE of Amboy, Washington",earthquake,20
2015-06-15T17:05:13.990Z,33.8813333,-116.857,15.69,1.2,ml,51,65,0.06873,0.13,ci,ci37400640,2015-06-15T19:15:00.660Z,"5km SSE of Banning, California",earthquake,21
2015-06-15T16:59:17.265Z,37.384,-117.1131,4.7656,1.31,ml,15,109.64,0.393,0.1698,nn,nn00498676,2015-06-15T17:58:06.360Z,"37km SSE of Goldfield, Nevada",earthquake,22
2015-06-15T16:50:40.896Z,37.3431,-117.1222,14.6235,1.18,ml,14,156,0.37,0.0882,nn,nn00498675,2015-06-15T18:29:02.043Z,"41km SSE of Goldfield, Nevada",earthquake,23
2015-06-15T16:50:16.600Z,44.221,-122.857,0.01,1.41,md,6,95,0.09588,0.27,uw,uw61027247,2015-06-15T17:44:53.090Z,"19km ENE of Coburg, Oregon",explosion,24
2015-06-15T16:45:22.889Z,37.3636,-117.1154,13.5534,1.34,ml,15,151.71,0.383,0.1478,nn,nn00498674,2015-06-15T17:11:39.370Z,"39km SSE of Goldfield, Nevada",earthquake,25
2015-06-15T16:31:46.460Z,37.651001,-118.8183365,3.05,0.91,md,9,93,0.01906,0.02,nc,nc72466556,2015-06-15T16:33:23.650Z,"13km E of Mammoth Lakes, California",earthquake,26
2015-06-15T16:31:40.000Z,64.8323,-149.1129,0,0.9,ml,23,456,53,0.77,ak,ak11626131,2015-06-15T16:42:26.154Z,"28km N of North Nenana, Alaska",earthquake,27
2015-06-15T16:28:32.560Z,33.8831667,-116.8576667,16.27,1.06,ml,39,65,0.1572,0.12,ci,ci37400576,2015-06-15T19:26:44.193Z,"5km SSE of Banning, California",earthquake,28
2015-06-15T16:05:48.740Z,32.8918333,-116.2568333,5.75,2.06,ml,70,59,0.02421,0.2,ci,ci37400552,2015-06-15T19:56:23.540Z,"27km ENE of Pine Valley, California",earthquake,29
2015-06-15T15:59:31.190Z,38.7471657,-122.7026672,2.77,0.78,md,7,141,0.007279,0.02,nc,nc72466546,2015-06-15T16:01:03.380Z,"5km SE of The Geysers, California",earthquake,30
